P;N;B;R;Q;K;p;n;b;r;q;k;score;draw;fen
1100585656832;3145728;8589934592;0;524288;64;9431902800838656;34359738368;18031990695526400;0;576460752303423488;4611686018427387904;-21;1;3q2k1/p4pb1/Pp2b2p/1Bpn2p1/6P1/2PQNN2/1P3PP1/6K1 b - - 3 29
1100585656832;3145728;8589934592;0;524288;64;9431902800838656;34359738368;18031990695526400;0;72057594037927936;4611686018427387904;96;0;q5k1/p4pb1/Pp2b2p/1Bpn2p1/6P1/2PQNN2/1P3PP1/6K1 w - - 4 30
1100585656832;137441050624;8589934592;0;524288;64;9431902800838656;34359738368;18031990695526400;0;72057594037927936;4611686018427387904;-92;0;q5k1/p4pb1/Pp2b2p/1Bpn1Np1/6P1/2PQ1N2/1P3PP1/6K1 b - - 5 30
1100585656832;137441050624;8589934592;0;524288;64;9431902800838656;536870912;18031990695526400;0;72057594037927936;4611686018427387904;197;0;q5k1/p4pb1/Pp2b2p/1Bp2Np1/5nP1/2PQ1N2/1P3PP1/6K1 w - - 6 31
1100585656832;137441050624;8589934592;0;8796093022208;64;9431902800838656;536870912;18031990695526400;0;72057594037927936;4611686018427387904;-82;0;q5k1/p4pb1/Pp1Qb2p/1Bp2Np1/5nP1/2P2N2/1P3PP1/6K1 b - - 7 31
1100585656832;2097152;8589934592;0;8796093022208;64;9431902800838656;536870912;18014535948435456;0;72057594037927936;4611686018427387904;149;0;q5k1/p4pb1/Pp1Q3p/1Bp2bp1/5nP1/2P2N2/1P3PP1/6K1 w - - 0 32
1236950868480;2097152;8589934592;0;8796093022208;64;9431902800838656;536870912;18014398509481984;0;72057594037927936;4611686018427387904;-173;0;q5k1/p4pb1/Pp1Q3p/1Bp2Pp1/5n2/2P2N2/1P3PP1/6K1 b - - 0 32
1236950868480;2097152;8589934592;0;8796093022208;64;9431902800838656;536870912;18014398509481984;0;268435456;4611686018427387904;283;0;6k1/p4pb1/Pp1Q3p/1Bp2Pp1/4qn2/2P2N2/1P3PP1/6K1 w - - 1 33
36283884003840;2097152;8589934592;0;8796093022208;64;9431902800838656;536870912;18014398509481984;0;268435456;4611686018427387904;-112;0;6k1/p4pb1/Pp1Q1P1p/1Bp3p1/4qn2/2P2N2/1P3PP1/6K1 b - - 0 33
36283884003840;2097152;8589934592;0;8796093022208;64;9431902800838656;536870912;2305843009213693952;0;268435456;4611686018427387904;131;0;5bk1/p4p2/Pp1Q1P1p/1Bp3p1/4qn2/2P2N2/1P3PP1/6K1 w - - 1 34
36283884003840;2097152;8589934592;0;68719476736;64;9431902800838656;536870912;2305843009213693952;0;268435456;4611686018427387904;-31;1;5bk1/p4p2/Pp3P1p/1Bp1Q1p1/4qn2/2P2N2/1P3PP1/6K1 b - - 2 34
36283884003840;2097152;8589934592;0;68719476736;64;9431902800838656;536870912;2305843009213693952;0;2;4611686018427387904;185;0;5bk1/p4p2/Pp3P1p/1Bp1Q1p1/5n2/2P2N2/1P3PP1/1q4K1 w - - 3 35
36283884003840;2097152;8589934592;0;68719476736;32768;9431902800838656;536870912;2305843009213693952;0;2;4611686018427387904;333;0;5bk1/p4p2/Pp3P1p/1Bp1Q1p1/5n2/2P2N2/1P3PPK/1q6 b - - 4 35
36283884003328;2097152;8589934592;0;68719476736;32768;9431902800838656;536870912;2305843009213693952;0;512;4611686018427387904;-337;0;5bk1/p4p2/Pp3P1p/1Bp1Q1p1/5n2/2P2N2/1q3PPK/8 w - - 0 36
36283884003328;2097152;67108864;0;68719476736;32768;9431902800838656;536870912;2305843009213693952;0;512;4611686018427387904;380;0;5bk1/p4p2/Pp3P1p/2p1Q1p1/2B2n2/2P2N2/1q3PPK/8 b - - 1 36
36283883995136;2097152;67108864;0;68719476736;32768;9431902800838656;536870912;2305843009213693952;0;8192;4611686018427387904;-369;0;5bk1/p4p2/Pp3P1p/2p1Q1p1/2B2n2/2P2N2/5qPK/8 w - - 0 37
36283883995136;16;67108864;0;68719476736;32768;9431902800838656;536870912;2305843009213693952;0;8192;4611686018427387904;407;0;5bk1/p4p2/Pp3P1p/2p1Q1p1/2B2n2/2P5/5qPK/4N3 b - - 1 37
36283883995136;16;67108864;0;68719476736;32768;9431902800838656;70368744177664;2305843009213693952;0;8192;4611686018427387904;-341;0;5bk1/p4p2/Pp3Pnp/2p1Q1p1/2B5/2P5/5qPK/4N3 w - - 2 38
36283883995136;16;67108864;0;268435456;32768;9431902800838656;70368744177664;2305843009213693952;0;8192;4611686018427387904;383;0;5bk1/p4p2/Pp3Pnp/2p3p1/2B1Q3/2P5/5qPK/4N3 b - - 3 38
1099511906304;16;67108864;0;268435456;32768;9431902800838656;70368744177664;2305843009213693952;0;35184372088832;4611686018427387904;-375;0;5bk1/p4p2/Pp3qnp/2p3p1/2B1Q3/2P5/6PK/4N3 w - - 0 39
1099511906304;16;67108864;0;562949953421312;32768;9431902800838656;70368744177664;2305843009213693952;0;35184372088832;4611686018427387904;571;0;5bk1/pQ3p2/Pp3qnp/2p3p1/2B5/2P5/6PK/4N3 b - - 1 39
1099511906304;16;67108864;0;562949953421312;32768;9431902800838656;70368744177664;2305843009213693952;0;8192;4611686018427387904;-466;0;5bk1/pQ3p2/Pp4np/2p3p1/2B5/2P5/5qPK/4N3 w - - 2 40
1099511906304;2097152;67108864;0;562949953421312;32768;9431902800838656;70368744177664;2305843009213693952;0;8192;4611686018427387904;512;0;5bk1/pQ3p2/Pp4np/2p3p1/2B5/2P2N2/5qPK/8 b - - 3 40
1099511906304;2097152;67108864;0;562949953421312;32768;9431902800838656;70368744177664;8796093022208;0;8192;4611686018427387904;-515;0;6k1/pQ3p2/Pp1b2np/2p3p1/2B5/2P2N2/5qPK/8 w - - 4 41
134280960;66;274877906976;129;8;16;71776119061217280;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-1;1;rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2
134280960;66;274877906976;129;8;16;69524353607270400;144150372447944704;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;4;1;rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3
134280960;66;35184372088864;129;8;16;69524353607270400;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;5;1;rnbqkb1r/ppp1pppp/5B2/3p4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3
134280960;66;32;129;8;16;51545139469877248;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;7;1;rnbqkb1r/ppp1pp1p/5p2/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4
201388800;66;32;129;8;16;51545139469877248;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;16;1;rnbqkb1r/ppp1pp1p/5p2/3p4/2PP4/8/PP2PPPP/RN1QKBNR b KQkq - 0 4
134279936;66;32;129;8;16;51545105177247744;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;0;1;rnbqkb1r/ppp1pp1p/5p2/8/2pP4/8/PP2PPPP/RN1QKBNR w KQkq - 0 5
135324416;66;32;129;8;16;51545105177247744;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;9;1;rnbqkb1r/ppp1pp1p/5p2/8/2pP4/4P3/PP3PPP/RN1QKBNR b KQkq - 0 5
135324416;66;32;129;8;16;50419222450274304;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-10;1;rnbqkb1r/pp2pp1p/5p2/2p5/2pP4/4P3/PP3PPP/RN1QKBNR w KQkq - 0 6
34360845056;66;32;129;8;16;50419222450274304;144115188075855872;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;33;1;rnbqkb1r/pp2pp1p/5p2/2pP4/2p5/4P3/PP3PPP/RN1QKBNR b KQkq - 0 6
34360845056;66;32;129;8;16;50419222450274304;2251799813685248;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-10;1;r1bqkb1r/pp1npp1p/5p2/2pP4/2p5/4P3/PP3PPP/RN1QKBNR w KQkq - 1 7
34360845056;66;67108864;129;8;16;50419222383165440;2251799813685248;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;8;1;r1bqkb1r/pp1npp1p/5p2/2pP4/2B5/4P3/PP3PPP/RN1QK1NR b KQkq - 0 7
34360845056;66;67108864;129;8;16;50419222383165440;2251799813685248;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;8;1;r1bqk2r/pp1nppbp/5p2/2pP4/2B5/4P3/PP3PPP/RN1QK1NR w KQkq - 1 8
34360845056;2097154;67108864;129;8;16;50419222383165440;2251799813685248;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;0;1;r1bqk2r/pp1nppbp/5p2/2pP4/2B5/4PN2/PP3PPP/RN1QK2R b KQkq - 2 8
34360845056;2097154;67108864;129;8;16;50419222383165440;2199023255552;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;17;1;r1bqk2r/pp2ppbp/1n3p2/2pP4/2B5/4PN2/PP3PPP/RN1QK2R w KQkq - 3 9
34360845056;2097154;131072;129;8;16;50419222383165440;2199023255552;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;27;1;r1bqk2r/pp2ppbp/1n3p2/2pP4/8/1B2PN2/PP3PPP/RN1QK2R b KQkq - 4 9
34360845056;2097154;131072;129;8;16;50419205270405120;2199023255552;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;-34;1;r1bqk2r/pp2ppbp/1n3p2/3P4/2p5/1B2PN2/PP3PPP/RN1QK2R w KQkq - 0 10
34360845056;2097154;67108864;129;8;16;50419205203296256;2199023255552;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;403;0;r1bqk2r/pp2ppbp/1n3p2/3P4/2B5/4PN2/PP3PPP/RN1QK2R b KQkq - 0 10
34360845056;2097154;0;129;8;16;50419205203296256;67108864;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;-389;0;r1bqk2r/pp2ppbp/5p2/3P4/2n5/4PN2/PP3PPP/RN1QK2R w KQkq - 0 11
34360845056;2097154;0;129;16777216;16;50419205203296256;67108864;306244774661193728;9295429630892703744;576460752303423488;1152921504606846976;433;0;r1bqk2r/pp2ppbp/5p2/3P4/Q1n5/4PN2/PP3PPP/RN2K2R b KQkq - 1 11
34360845056;2097154;0;129;16777216;16;50419205203296256;67108864;20266198323167232;9295429630892703744;576460752303423488;1152921504606846976;-411;0;r2qk2r/pp1bppbp/5p2/3P4/Q1n5/4PN2/PP3PPP/RN2K2R w KQkq - 2 12
34360845056;2097154;0;129;67108864;16;50419205203296256;0;20266198323167232;9295429630892703744;576460752303423488;1152921504606846976;430;0;r2qk2r/pp1bppbp/5p2/3P4/2Q5/4PN2/PP3PPP/RN2K2R b KQkq - 0 12
34360845056;2097154;0;129;67108864;16;50419205203296256;0;20266198323167232;9511602413006487552;576460752303423488;1152921504606846976;-412;0;2rqk2r/pp1bppbp/5p2/3P4/2Q5/4PN2/PP3PPP/RN2K2R w KQk - 1 13
34360845056;2097154;0;129;131072;16;50419205203296256;0;20266198323167232;9511602413006487552;576460752303423488;1152921504606846976;471;0;2rqk2r/pp1bppbp/5p2/3P4/8/1Q2PN2/PP3PPP/RN2K2R b KQk - 2 13
134280960;66;36;129;8;16;69524353607270400;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;35;1;rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2
201388800;66;36;129;8;16;69524353607270400;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-30;1;rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2
201388800;66;36;129;8;16;65038346165944320;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;33;1;rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3
201388800;262208;36;129;8;16;65038346165944320;4755801206503243776;2594073385365405696;9295429630892703744;576460752303423488;1152921504606846976;-25;1;rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3
201388800;262208;36;129;8;16;65038346165944320;4755801206503243776;292733975779082240;9295429630892703744;576460752303423488;1152921504606846976;35;1;rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4
